,2025-09-30 00:00:00,2024-09-30 00:00:00,2023-09-30 00:00:00,2022-09-30 00:00:00,2021-09-30 00:00:00
1. Gross Margin,0.4691,0.4621,0.4413,0.4331,
2. Operating Margin,0.3197,0.3151,0.2982,0.3029,
3. Net Profit Margin,0.2692,0.2397,0.2531,0.2531,
4. Return on Equity (ROE),1.5191,1.6459,1.5608,1.9696,
5. Return on Assets (ROA),0.3118,0.2568,0.2751,0.2829,
6. Current Ratio (Liq. 3. Grades),0.8933,0.8673,0.988,0.8794,
7. Quick Ratio (Liq. 2. Grades),0.8588,0.826,0.9444,0.8472,
8. Cash Ratio (Liq. 1. Grades),0.217,0.1698,0.2062,0.1536,
9. Working Capital,-17674000000.0,-23405000000.0,-1742000000.0,-18577000000.0,
10. Eigenkapitalquote,0.2052,0.156,0.1763,0.1436,
11. Fremdkapitalquote,0.7948,0.844,0.8237,0.8564,
12. Verschuldungsgrad (Debt-to-Equity),3.8722,5.4088,4.6735,5.9615,
13. Net Debt to EBITDA,0.4333,0.5695,0.6448,0.7386,
14. Zinsdeckungsgrad (Interest Coverage),,,29.062,40.7496,
15. Operating Cash Flow Margin,0.2679,0.3024,0.2884,0.3098,
16. Free Cash Flow Margin,0.2373,0.2783,0.2598,0.2826,
17. Cash Return on Assets,0.3103,0.324,0.3135,0.3463,
18. CAPEX Quote,0.0306,0.0242,0.0286,0.0272,
19. Anlagenintensität,0.1387,0.1252,0.124,0.1194,
20. Kapitalumschlag (Asset Turnover),1.1584,1.0714,1.0871,1.1179,
